Participant.ID,List,quantifier,fruit,response
34,2,some,orange,N
34,2,some,apple,I
34,2,some,banana,N
34,2,all,orange,Y
34,2,some,banana,I
34,2,some,apple,N
34,2,some,orange,I
34,2,all,apple,Y
35,1,all,banana,Y
35,1,some,orange,N
35,1,some,apple,N
35,1,some,banana,N
35,1,all,orange,Y
35,1,some,banana,N
35,1,some,apple,N
35,1,some,orange,N
35,1,all,apple,Y
36,2,all,banana,Y
36,2,some,orange,N
36,2,some,apple,N
36,2,some,banana,N
36,2,all,orange,Y
36,2,some,banana,Y
36,2,some,apple,Y
36,2,some,orange,Y
36,2,all,apple,Y
37,1,all,banana,Y
37,1,some,orange,N
37,1,some,apple,I
37,1,some,banana,N
37,1,all,orange,Y
37,1,some,banana,I
37,1,some,apple,I
37,1,some,orange,I
37,1,all,apple,Y
38,2,all,banana,I
38,2,some,orange,N
38,2,some,apple,N
38,2,some,banana,N
38,2,all,orange,Y
38,2,some,banana,I
38,2,some,apple,Y
38,2,some,orange,I
38,2,all,apple,Y
39,1,all,banana,Y
39,1,some,orange,N
39,1,some,apple,I
39,1,some,banana,N
39,1,all,orange,Y
39,1,some,banana,I
39,1,some,apple,N
39,1,some,orange,I
39,1,all,apple,Y
40,2,all,banana,Y
40,2,some,orange,N
40,2,some,apple,N
40,2,some,banana,N
40,2,all,orange,N
40,2,some,banana,Y
40,2,some,apple,N
40,2,some,orange,Y
40,2,all,apple,N
41,1,all,banana,Y
41,1,some,orange,N
41,1,some,apple,N
41,1,some,banana,N
41,1,all,orange,Y
41,1,some,banana,Y
41,1,some,apple,N
41,1,some,orange,N
41,1,all,apple,Y
42,2,all,banana,Y
42,2,some,orange,N
42,2,some,apple,I
42,2,some,banana,N
42,2,all,orange,Y
42,2,some,banana,N
42,2,some,apple,N
42,2,some,orange,N
42,2,all,apple,Y
43,1,all,banana,N
43,1,some,orange,N
43,1,some,apple,N
43,1,some,banana,N
43,1,all,orange,Y
43,1,some,banana,N
43,1,some,apple,N
43,1,some,orange,N
43,1,all,apple,Y
44,2,all,banana,Y
44,2,some,orange,N
44,2,some,apple,N
44,2,some,banana,N
44,2,all,orange,Y
44,2,some,banana,N
44,2,some,apple,N
44,2,some,orange,N
44,2,all,apple,Y
45,1,all,banana,Y
45,1,some,orange,I
45,1,some,apple,I
45,1,some,banana,I
45,1,all,orange,Y
45,1,some,banana,I
45,1,some,apple,I
45,1,some,orange,I
45,1,all,apple,Y
46,2,all,banana,Y
46,2,some,orange,N
46,2,some,apple,N
46,2,some,banana,N
46,2,all,orange,Y
46,2,some,banana,Y
46,2,some,apple,N
46,2,some,orange,Y
46,2,all,apple,Y
47,1,all,banana,Y
47,1,some,orange,N
47,1,some,apple,I
47,1,some,banana,N
47,1,all,orange,Y
47,1,some,banana,I
47,1,some,apple,N
47,1,some,orange,I
47,1,all,apple,Y
48,2,all,banana,Y
48,2,some,orange,N
48,2,some,apple,I
48,2,some,banana,N
48,2,all,orange,Y
48,2,some,banana,I
48,2,some,apple,N
